76,80,77,54,55,55,52,52,52,52,84,70,72,61,61,61,61,60,58,60,54,54,54,54,81,79,81,57,58,57,77,77,77,76,64,53,64,69,70,70,4
86,86,77,60,60,59,67,66,66,66,0,83,84,76,76,76,76,62,62,62,63,63,64,63,83,86,87,65,65,65,89,89,89,89,86,60,78,85,0,86,5
83,87,82,63,62,62,67,66,66,66,92,81,82,81,81,80,80,65,65,66,63,63,63,63,87,87,87,64,64,64,89,89,88,89,82,60,74,85,89,87,5
85,86,80,66,66,66,69,69,69,69,92,83,82,83,83,83,82,66,66,65,67,67,67,67,87,86,87,60,60,60,85,85,85,85,78,61,74,86,85,86,5
81,86,81,63,63,63,71,71,71,71,0,86,85,84,84,84,84,68,68,67,70,69,70,70,89,88,90,60,60,60,86,86,86,86,78,62,78,92,89,90,5
85,87,79,64,63,63,73,73,73,73,91,85,85,86,86,86,86,70,70,70,66,66,66,66,85,85,85,61,60,61,86,86,87,86,83,59,84,88,88,88,5
0,87,79,69,68,68,76,76,76,76,0,84,84,85,85,85,85,68,68,68,68,68,68,68,87,87,88,61,61,61,87,87,87,87,81,66,79,87,86,87,5
0,86,79,68,68,68,70,71,70,70,92,82,82,79,79,79,79,64,64,64,67,67,67,67,87,86,87,64,63,63,88,88,88,88,83,59,77,88,89,88,5
85,86,80,63,63,63,66,66,66,66,0,86,85,81,81,81,81,62,63,63,67,67,67,67,86,86,87,62,62,62,89,89,89,89,82,63,78,87,88,85,5
86,87,75,65,65,65,70,69,69,70,92,81,81,82,82,82,82,69,69,69,64,64,65,65,84,85,84,61,61,61,89,90,89,89,83,62,76,86,86,86,5
83,88,78,65,65,65,69,69,69,69,0,82,82,83,83,83,83,68,68,67,67,67,67,67,86,87,87,59,59,59,87,87,88,87,79,60,76,89,89,89,5
83,85,80,57,56,57,60,60,60,62,89,80,82,79,79,81,81,69,69,70,71,71,71,71,86,85,85,66,66,66,86,87,87,86,77,58,71,85,86,85,5
85,86,82,56,56,56,62,62,62,62,90,83,83,84,84,83,84,73,74,73,74,74,74,74,85,85,86,63,63,63,86,86,86,86,78,59,72,84,83,83,5
86,86,83,64,64,64,64,63,63,63,89,87,87,82,82,82,82,79,79,79,76,76,76,76,88,87,87,58,58,58,82,83,82,82,77,58,75,83,83,83,5
81,87,83,61,61,61,68,68,68,68,89,86,86,83,83,83,83,76,76,75,75,75,75,75,88,88,88,58,58,58,85,86,85,85,74,52,75,83,83,83,5
84,87,82,65,65,65,64,64,64,64,88,83,83,85,84,84,84,76,76,77,77,77,77,77,86,86,86,57,57,57,84,85,84,85,74,54,72,85,85,84,5
83,82,81,59,59,59,66,66,66,66,90,84,83,80,80,80,80,74,74,74,75,75,75,75,86,86,86,62,62,62,83,83,83,83,76,56,74,81,81,81,5
83,84,84,63,63,63,68,68,69,69,89,83,83,82,82,82,81,71,72,72,73,73,73,73,86,86,86,61,61,61,86,86,86,86,78,58,71,83,82,83,5
89,87,84,55,54,54,68,68,68,68,89,87,88,84,84,84,84,73,73,73,77,77,77,77,88,88,88,69,68,68,86,86,86,86,82,52,70,79,79,79,5
82,88,84,63,63,63,65,65,65,65,90,86,85,83,83,83,83,74,73,72,75,75,75,75,88,88,87,60,60,60,84,84,84,84,78,55,68,83,83,83,5
80,87,84,61,60,61,64,64,65,65,87,77,77,79,79,79,79,71,70,70,73,73,73,73,84,84,84,62,62,62,78,77,78,78,78,60,79,87,87,86,5
79,80,76,53,54,54,44,44,44,45,84,77,76,64,67,67,66,60,59,59,58,58,58,58,78,78,78,58,58,58,79,79,79,78,65,53,65,78,77,76,6
77,73,79,53,54,54,51,51,51,51,78,75,75,68,69,69,69,61,61,61,58,58,58,58,78,79,79,59,60,59,79,79,79,79,65,52,64,76,77,75,6
74,75,76,53,53,53,52,52,52,52,84,76,75,69,69,69,69,60,60,60,59,58,58,58,78,78,79,59,58,58,79,79,79,78,65,51,68,74,74,75,6
76,73,73,54,54,54,53,53,53,53,85,79,80,70,71,71,71,67,67,65,61,61,61,61,75,77,78,54,54,54,75,76,76,73,63,52,65,73,74,75,6
79,76,74,53,55,54,49,49,49,49,82,79,78,73,73,73,73,65,64,65,61,61,61,61,81,79,78,56,55,55,75,75,75,75,62,51,62,76,75,74,6
